MSOAcode,log_Violent,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price,Employment_Deprivation,EducationSkills_Deprivation,LivingEnvironment_Deprivation,Violent_Rate
E02000387,1.817217084,147,27.2727,35.7,0.146128036,4.745074792,5.867133831,0.1215,8.9525,37.3215,65.64733256
E02000388,1.556074143,151,25.4607,26.2,0.716003344,4.748962861,6.093669583,0.0872,8.0372,44.6308,35.9810757
E02000389,1.334699422,128,23.6368,20.4,0.62324929,4.81756537,6.02082558,0.056,3.826,35.7034,21.61222208
E02000390,1.249860084,179,25.3203,24.3,0.653212514,4.776701184,5.993242188,0.10325,11.0695,36.96325,17.77706598
E02000391,1.505163932,117,19.2906,19.1,0.792391689,4.794488047,6.091537881,0.0802,4.4526,44.3576,32.00102815
E02000392,1.440121862,165,23.5378,23.1,0.716003344,4.836956737,5.992906818,0.091166667,8.641666667,44.88366667,27.5500164
E02000393,1.155949716,163,21.256,15.9,0.568201724,4.928395852,5.957566106,0.04475,4.7925,36.00775,14.32022084
E02000394,1.382003205,129,23.5676,32.6,0.886490725,4.757396029,6.059675858,0.0948,9.2812,40.707,24.09923213
E02000395,1.320074143,61,20.5932,13.9,0.819543936,4.843232778,6.145089762,0.0365,4.67925,43.6425,20.89652848
E02000396,1.300451322,108,19.0709,24.6,0.414973348,4.804139432,6.102423071,0.09475,7.458,38.96775,19.97336884
E02000397,1.530945425,150,19.6793,38.8,0.342422681,4.63748973,5.580060086,0.13425,16.51325,42.83275,33.95825964
E02000398,1.671586226,64,19.7876,61.7,0.755874856,4.505149978,5.416878389,0.275,40.555,34.66325,46.944663
E02000400,1.356232427,62,19.6907,38.2,0.230448921,4.665580991,5.698902249,0.12025,9.9195,32.20175,22.71079971
E02000401,1.490511624,96,20.4256,50.1,0.176091259,4.557507202,5.511884697,0.20125,32.32875,36.4395,30.93938121
E02000402,1.493116821,71,20.2095,54.9,0.301029996,4.564666064,5.404681516,0.21675,34.929,32.60575,31.12553474
E02000403,1.577918564,94,23.1394,37.6,0.342422681,4.683947131,5.643696405,0.107,14.9905,41.48525,37.83716284
E02000404,1.498621366,125,22.6015,48.7,0.301029996,4.629409599,5.545371452,0.1525,23.53375,32.44375,31.52255171
E02000405,1.109072333,38,13.8117,19.1,0.204119983,4.832508913,5.844790823,0.06225,1.14075,28.729,12.85500747
E02000406,1.430058544,164,23.3475,44.4,0.204119983,4.614897216,5.627464176,0.165,24.93125,39.28125,26.91897655
E02000407,1.703644317,150,20.7893,58.4,0.740362689,4.592176757,5.515119794,0.20775,31.13775,39.32275,50.54105665
E02000408,1.701966727,164,23.9995,57.2,0.477121255,4.596597096,5.487623326,0.188,33.871,35.432,50.3462035
E02000409,1.520495312,92,22.2987,54.4,0.255272505,4.537819095,5.539727052,0.22475,33.60825,31.8405,33.15089914
E02000410,1.299140198,89,17.0235,17.6,0.477121255,4.80685803,5.868881208,0.056,0.8105,39.44525,19.91316065
E02000411,1.494893384,72,29.2561,57.6,0.447158031,4.582063363,5.474373631,0.173,26.918,37.087,31.25312032
E02000412,1.925127322,100,24.9773,45.9,0.361727836,4.562292864,5.568063197,0.16375,23.486,42.01025,84.1641849
E02000413,1.058161186,63,15.2917,20.7,0.414973348,4.749736316,5.898813457,0.06975,3.096,30.228,11.43302585
E02000414,1.477595634,186,20.6295,53.3,0.991226076,4.638489257,5.608211431,0.1555,25.25025,36.8935,30.03278689
E02000415,1.576694752,104,21.7772,41.4,0.740362689,4.649334859,5.633585598,0.1395,15.75425,40.37925,37.73069036
E02000416,1.397004088,126,19.5264,33.9,0.431363764,4.67669361,5.668737124,0.1522,14.6632,40.3458,24.94618209
E02000417,1.281066722,62,16.03,16.8,0.544068044,4.810904281,5.905604317,0.06125,2.18375,37.827,19.10146699
E02000418,1.083731449,82,12.5192,15.8,0.255272505,4.811575006,5.911308919,0.06225,1.44125,30.4715,12.1263877
E02000419,1.481007762,142,26.142,36.1,0.875061263,4.641474111,5.711083927,0.1235,16.14975,40.572,30.26967529
E02000420,1.673420709,142,20.7212,49.4,0.579783597,4.607455023,5.595633984,0.1705,27.08225,43.9865,47.14337922
E02000421,1.737976521,98,23.8885,56.4,0.505149978,4.546542663,5.507378155,0.19575,25.8365,39.5795,54.69863901
E02000422,1.4744648,155,22.1787,52,0.322219295,4.541579244,5.58411968,0.15825,23.24575,38.268,29.81705868
E02000423,1.451332507,135,27.5103,38.4,0.531478917,4.681241237,5.64602809,0.1095,14.5465,44.844,28.27043606
E02000424,1.323189188,111,20.1565,26.7,0.602059991,4.733197265,5.797735523,0.1265,4.82075,32.4765,21.04695089
E02000425,1.269360525,146,16.81,34.6,0.875061263,4.58546073,5.705748284,0.1215,33.999,36.66925,18.59347331
E02000426,1.216189025,29,14.425,22.1,0.653212514,4.794488047,6.212665598,0.07225,4.8,31.26175,16.45087586
E02000427,1.581156556,67,25.8525,33.6,1.012837225,4.788875116,5.747470072,0.12025,11.1125,44.388,38.1203216
E02000428,1.437680217,135,26.2799,48.6,0.643452676,4.598790507,5.617463761,0.1735,22.613,37.91175,27.39556217
E02000429,1.075112884,73,14.3217,17.3,0.491361694,4.841984805,5.882732244,0.0575,2.06525,36.07575,11.88811189
E02000430,1.244685741,117,19.5428,20.7,0.568201724,4.782472624,5.816795914,0.0695,3.73725,48.63725,17.56652028
E02000431,1.136953937,103,19.8916,17.1,0.568201724,4.846337112,5.944340516,0.051,5.93225,49.029,13.70736372
E02000432,1.282683397,124,21.9505,27.5,0.934498451,4.723455672,5.754885519,0.11525,7.1245,36.493,19.17270531
E02006794,1.741271969,120,19.3684,60.1,0.591064607,4.517195898,5.408229786,0.22825,40.737,40.43525,55.11527378
E02000433,1.087901458,13,13.8387,39.8,0.653212514,4.716837723,5.927486365,0.0575,5.40825,12.533,12.24338363
E02000434,1.233521679,47,17.5406,50.5,0.662757832,4.715167358,5.650486256,0.0826,5.4654,11.5296,17.12070636
E02000435,1.162478013,43,17.2277,47,0.579783597,4.710963119,5.771605117,0.112,10.71775,9.44275,14.53710788
E02000436,0.824824009,12,14.3284,43.4,0.397940009,4.79518459,5.824373838,0.03925,2.749,11.71675,6.680731364
E02000437,1.29006802,62,16.5705,48.2,0.462397998,4.702430536,5.643428,0.0966,7.81,13.987,19.50150012
E02000438,1.289618497,46,16.4537,45.4,0.491361694,4.677606953,5.660983992,0.1116,13.7988,14.2198,19.48132523
