MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000135,Bromley 009,"10,329",89,16.6014,43.5,0.491361694,4.574031268,5.483594428
E02000136,Bromley 010,"5,694",12,20.699,15,0.69019608,4.718501689,5.667139027
E02000137,Bromley 011,"8,267",44,16.1398,15.2,0.477121255,4.755112266,5.607488264
E02000138,Bromley 012,"8,272",40,14.2252,14.3,0.591064607,4.812913357,5.671102461
E02000139,Bromley 013,"7,635",50,13.0077,16.8,0.531478917,4.757396029,5.647156961
E02000140,Bromley 014,"8,433",45,14.5383,15.7,0.255272505,4.587710965,5.426133733
E02000141,Bromley 015,"7,384",79,19.5541,30.4,0.72427587,4.687528961,5.545329387
E02000142,Bromley 016,"8,537",48,16.8066,14.8,0.568201724,4.787460475,5.685239995
E02000144,Bromley 018,"9,252",47,15.0404,19.6,0.672097858,4.779596491,5.565679025
E02000145,Bromley 019,"8,866",8,16.0722,19.3,0.431363764,4.650307523,5.397277639
E02000146,Bromley 020,"9,200",51,18.3284,13.1,0.653212514,4.754348336,5.549385861
E02000147,Bromley 021,"8,155",36,14.7826,14.2,0.397940009,4.841984805,5.805790291
E02000148,Bromley 022,"6,604",24,14.5187,11.3,0.447158031,4.829946696,5.707269472
E02000149,Bromley 023,"8,051",43,12.7801,11.9,0.322219295,4.671172843,5.467289852
E02000150,Bromley 024,"8,635",28,16.6936,16.4,0.361727836,4.78604121,5.710630089
E02000151,Bromley 025,"7,657",36,16.7342,8.9,0.230448921,4.874481818,5.716963575
E02000152,Bromley 026,"7,523",29,11.9237,16,0.785329835,4.680335513,5.551546362
E02000153,Bromley 027,"7,940",35,16.855,8.5,0.230448921,4.85308953,5.713212405
E02000154,Bromley 028,"8,362",40,13.9924,13,0.505149978,4.758154622,5.612604806
E02000155,Bromley 029,"6,941",38,15.8933,10.4,0.342422681,4.680335513,5.516151809
E02000156,Bromley 030,"12,414",32,14.58,10.6,0.447158031,4.784617293,5.674361369
E02000157,Bromley 031,"8,137",33,14.822,8,0.397940009,4.86332286,5.662134266
E02000158,Bromley 032,"7,760",36,13.2481,12.2,0.204119983,4.726727209,5.605505444
E02000159,Bromley 033,"6,986",12,15.1289,9.8,0.681241237,4.845718018,5.897940879
E02000160,Bromley 034,"7,937",9,14.1283,6.5,0.397940009,4.788168371,5.696778245
E02000161,Bromley 035,"8,641",50,14.9553,11.7,0.230448921,4.820857989,5.605989894
E02000162,Bromley 036,"7,002",5,12.8457,9.5,0.414973348,4.705007959,5.629854879
E02000163,Bromley 037,"7,754",7,13.7104,7.1,0.322219295,4.792391689,5.788029007
E02000165,Bromley 039,"7,050",12,12.5871,4.7,0.301029996,4.772321707,5.476415677
E02006782,Bromley 040,"7,813",30,16.1986,23.2,0.681241237,4.689308859,5.597721506
E02006787,Bromley 041,"7,948",53,15.8966,15.5,0.380211242,4.770115295,5.62997911
E02006789,Bromley 042,"6,580",3,13.0976,4.1,0.698970004,4.720985744,5.623289616
E02000166,Camden 001,"8,554",28,13.5866,20.6,0.62324929,4.740362689,6.05088955
E02000167,Camden 002,"8,596",41,12.4942,15.2,0.838849091,4.911690159,6.221406934
E02000168,Camden 003,"9,000",132,19.8778,21.8,0.380211242,4.764176132,5.938867322
E02000169,Camden 004,"8,524",76,21.0113,24.1,0.86923172,4.880241776,6.264098754
E02000170,Camden 005,"9,127",118,22.2417,25.7,0.69019608,4.815577748,5.921830523
E02000171,Camden 006,"8,667",166,17.7685,22.9,0.544068044,4.752048448,5.996150778
E02000172,Camden 007,"11,498",172,24.8826,37.4,0.204119983,4.619093331,5.829728852
E02000173,Camden 008,"8,713",112,18.2027,29.9,0.707570176,4.858537198,6.199073865
E02000174,Camden 009,"9,637",177,26.0143,32.1,0.278753601,4.701567985,5.78534265
E02000175,Camden 010,"9,850",142,26.2335,29.7,0.556302501,4.773054693,5.936437332
E02000176,Camden 011,"7,190",181,15.1182,22.3,0.740362689,4.84509804,6.056341046
