LSOACode,Violence_Total
E01000293,5
E01000293,7
E01000293,0
E01000293,1
E01000293,0
E01000294,6
E01000294,3
E01000294,6
E01000294,0
E01000294,0
E01000294,2
E01000295,3
E01000295,7
E01000295,8
E01000295,1
E01000295,0
E01000295,1
E01000296,8
E01000296,17
E01000296,18
E01000296,0
E01000296,3
E01000296,11
E01000297,3
E01000297,4
E01000297,9
E01000297,1
E01000297,3
E01000297,2
E01000298,17
E01000298,12
E01000298,13
E01000298,0
E01000298,0
E01000298,5
E01000298,11
E01000299,8
E01000299,21
E01000299,26
E01000299,2
E01000299,3
E01000299,2
E01000300,4
E01000300,6
E01000300,7
E01000300,0
E01000300,2
E01000300,0
E01000301,1
E01000301,4
E01000301,4
E01000301,1
E01000301,0
E01000302,12
E01000302,13
E01000302,22
E01000302,0
E01000302,1
E01000302,4
E01000303,2
E01000303,3
E01000303,6
E01000303,1
E01000304,4
E01000304,7
E01000304,2
E01000304,0
E01000304,0
E01000305,20
E01000305,21
E01000305,20
E01000305,0
E01000305,5
E01000305,0
E01000305,6
E01000306,7
E01000306,2
E01000306,9
E01000306,0
E01000306,0
E01000306,0
E01000307,23
E01000307,29
E01000307,36
E01000307,5
E01000307,4
E01000307,10
E01000308,8
E01000308,11
E01000308,22
E01000308,1
E01000308,3
E01000308,4
E01000309,5
E01000309,6
E01000309,9
E01000309,0
E01000309,5
E01000309,4
E01000310,27
E01000310,22
E01000310,37
E01000310,0
E01000310,2
E01000310,12
E01000311,5
E01000311,4
E01000311,9
E01000311,0
E01000311,0
E01000311,1
E01000312,5
E01000312,6
E01000312,10
E01000312,0
E01000312,3
E01000312,2
E01000313,11
E01000313,13
E01000313,21
E01000313,1
E01000313,2
E01000313,4
E01000314,7
E01000314,6
E01000314,17
E01000314,0
E01000314,0
E01000314,2
E01000315,16
E01000315,23
E01000315,31
E01000315,1
E01000315,1
E01000315,2
E01000316,16
E01000316,19
E01000316,31
E01000316,0
E01000316,5
E01000316,9
E01000317,3
E01000317,6
E01000317,17
E01000317,0
E01000317,0
E01000317,1
E01000317,0
E01000318,5
E01000318,0
E01000318,7
E01000318,0
E01000318,0
E01000318,3
E01000319,4
E01000319,1
E01000319,1
E01000319,0
E01000319,3
E01000320,4
E01000320,4
E01000320,12
E01000320,0
E01000320,1
E01000320,3
E01000321,10
E01000321,13
E01000321,16
E01000321,1
E01000321,2
E01000321,5
E01000322,1
E01000322,12
E01000322,14
E01000322,1
E01000322,0
E01000322,1
E01000323,17
E01000323,26
E01000323,33
E01000323,0
E01000323,4
E01000323,9
E01000324,7
E01000324,5
E01000324,13
E01000324,0
E01000324,0
E01000324,2
E01000325,3
E01000325,2
E01000325,2
E01000325,0
E01000325,0
E01000325,1
E01000326,5
E01000326,3
E01000326,5
E01000326,0
E01000326,0
E01000326,0
E01000326,1
E01000327,5
E01000327,7
E01000327,12
E01000327,0
E01000327,0
E01000327,2
E01000328,16
E01000328,17
E01000328,9
E01000328,0
E01000328,0
E01000328,3
E01000329,5
E01000329,7
E01000329,17
E01000329,0
E01000329,1
E01000329,3
E01000330,8
E01000330,14
E01000330,18
E01000330,1
E01000330,5
E01000330,6
E01000331,15
E01000331,9
E01000331,17
E01000331,2
E01000331,0
E01000331,3
E01000332,2
E01000332,4
E01000332,3
E01000332,0
E01000332,0
E01000332,0
E01000333,14
E01000333,18
E01000333,15
E01000333,0
E01000333,4
E01000333,6
E01000334,9
E01000334,8
E01000334,9
E01000334,0
E01000334,1
E01000334,3
E01000335,17
E01000335,18
E01000335,13
E01000335,2
E01000335,12
E01000335,7
E01000336,25
E01000336,9
E01000336,21
E01000336,5
E01000336,10
E01000336,5
E01000337,6
E01000337,3
E01000337,6
E01000337,0
E01000337,0
E01000337,5
E01000338,5
E01000338,5
E01000338,7
E01000338,0
E01000338,0
E01000338,0
E01000339,5
E01000339,3
E01000339,6
